NODE #0	NODE #1	
3.063007	4.238775	
1.182796	4.338473	
0.142755	3.682517	
0.035714	3.681201	
0.035714	3.536977	
0.000000	3.715613	
2.853067	4.430154	
10.725778	3.604568	
10.916875	3.750000	
11.023622	3.784363	
10.721944	3.571429	
10.829164	3.750000	
10.769231	3.789775	
10.746162	0.392997	
2.057019	45.376651	
86.304817	50.089445	
98.092153	50.000000	
99.107143	50.483698	
98.638968	50.035791	
98.926655	50.428878	
98.748212	50.447868	
98.638968	50.107527	
99.068434	50.071839	
98.600144	50.431344	
98.709215	50.035894	
99.107780	50.393138	
98.921639	50.197062	
98.959081	50.286738	
98.926655	50.322350	
99.000714	50.232558	
98.884491	50.089638	
98.855508	50.322581	
98.707361	50.125224	
99.034680	50.394831	
98.739647	4.438082	
14.581844	0.178699	
0.178635	0.429185	
